pid,name,cpu_percent,mem_percent,power_w,carbon_kg,carbon_mg,runtime,exe_path
31920,60eaff78-4bdd-042d-2e72-669728efd737-suplib-3rdchild,137.61,7.27,89.45,0.00000018,0.179,3h44m,C:\Program Files\Oracle\VirtualBox\VirtualBoxVM.exe
27456,OneDrive.exe,70.27,2.89,45.67,0.00000009,0.091,4h47m,C:\Program Files\Microsoft OneDrive\OneDrive.exe
22568,docker.exe,46.90,0.12,30.48,0.00000006,0.061,7s,C:\Program Files\Docker\Docker\resources\bin\docker.exe
16944,comet.exe,16.92,11.70,11.00,0.00000002,0.022,2h38m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
17684,Explorer.EXE,14.27,1.90,9.28,0.00000002,0.019,4h49m,C:\Windows\explorer.exe
18464,Code.exe,10.21,2.33,6.63,0.00000001,0.013,1h26m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
18696,comet.exe,7.76,1.20,5.05,0.00000001,0.010,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
22476,Spotify.exe,4.68,0.95,3.04,0.00000001,0.0061,2h43m,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe
30884,Code.exe,4.33,2.30,2.81,0.00000001,0.0056,1h26m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
824,Spotify.exe,4.24,1.50,2.75,0.00000001,0.0055,2h43m,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe
3992,comet.exe,4.10,1.21,2.66,0.00000001,0.0053,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
6556,comet.exe,3.20,0.58,2.08,0.00000000,0.0042,47s,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
17276,audiodg.exe,3.15,0.65,2.05,0.00000000,0.0041,4h31m,C:\Windows\System32\audiodg.exe
8892,msedgewebview2.exe,2.73,0.14,1.77,0.00000000,0.0035,4h43m,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedgewebview2.exe
11016,carbonqt,2.67,0.09,1.74,0.00000000,0.0035,10s,C:\Users\KSHAMA JAYCHAND\OneDrive\Desktop\CarbonQT-CLI\carbonqt.exe
27688,msedgewebview2.exe,2.47,0.33,1.61,0.00000000,0.0032,4h43m,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedgewebview2.exe
1368,Code.exe,2.34,0.73,1.52,0.00000000,0.0030,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
3832,comet.exe,2.27,0.45,1.47,0.00000000,0.0029,4h22m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
9052,node.exe,2.11,0.26,1.37,0.00000000,0.0027,4h19m,C:\Program Files\nodejs\node.exe
35836,Code.exe,2.11,0.94,1.37,0.00000000,0.0027,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
29900,comet.exe,1.89,0.52,1.23,0.00000000,0.0025,47s,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
13604,Code.exe,1.82,0.44,1.18,0.00000000,0.0024,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
31708,Code.exe,1.43,1.18,0.93,0.00000000,0.0019,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
18976,comet.exe,1.19,0.76,0.77,0.00000000,0.0015,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
28876,ipf_helper.exe,0.83,0.02,0.54,0.00000000,0.0011,4h49m,C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_c493e10bcfd25250\ipf_helper.exe
21284,Spotify.exe,0.79,0.19,0.51,0.00000000,0.0010,2h43m,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe
14176,CrossDeviceService.exe,0.74,0.31,0.48,0.00000000,0.0010,4h49m,C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26012.79.0_x64__cw5n1h2txyewy\CrossDeviceService.exe
32580,Code.exe,0.72,0.07,0.47,0.00000000,0.0009,4h48m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
18884,PhoneExperienceHost.exe,0.61,0.23,0.40,0.00000000,0.0008,4h49m,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26012.101.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe
32128,msedgewebview2.exe,0.56,0.11,0.36,0.00000000,0.0007,4h46m,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedgewebview2.exe
11604,WhatsApp.Root.exe,0.43,0.61,0.28,0.00000000,0.0006,4h43m,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2611.102.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe
13732,Code.exe,0.40,0.16,0.26,0.00000000,0.0005,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Programs\Microsoft VS Code\Code.exe
30312,comet.exe,0.39,0.23,0.25,0.00000000,0.0005,4h49m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
35480,comet.exe,0.38,0.62,0.24,0.00000000,0.0005,2h38m,C:\Users\KSHAMA JAYCHAND\AppData\Local\Perplexity\Comet\Application\comet.exe
34328,WindowsTerminal.exe,0.38,0.35,0.24,0.00000000,0.0005,1h1m,C:\Program Files\WindowsApps\Microsoft.WindowsTerminalPreview_1.25.923.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
